"Company ID","Domains","Name","Description","City","State","Country","Angel List","Facebook","Instagram","LinkedIn","Twitter"
"fff3ef89-a459-4184-87da-41c06eda936c","rubberbandpr.com","","","","","","","","","",""
"ffeda3a8-3036-4126-93f8-9a830fe4300a","getnet.mx","","","","","","","","","",""
"ff2981bc-a1ef-4a11-acbf-7179a321932b","unfoundation.org","","","","","","","","","",""
"feb16240-bd1d-4bf7-953e-9c38b03628ce","unsubscribe-03.emailinboundprocessing.com","","","","","","","","","",""
"fe542049-c793-450b-89b1-347dfbea5ac2","hd.company","","","","","","","","","",""
"fdf4a5ba-10eb-4619-bd88-edc99f37300b","citystgeorges.ac.uk","","","","","","","","","",""
"fdeae98b-88f3-41f7-a4cd-2a8eb0d58e7a","l-1452.com","","","","","","","","","",""
"fd99b7fd-124e-477b-a2fe-56ec05736d32","elheraldodechihuahua.com.mx","","","","","","","","","",""
"fd41ae79-8b31-4cd5-9f99-340912e40b4a","watson.is","","","","","","","","","",""
"fd0e7d19-044f-4c7b-bf4f-b38ff87e020e","finnosummit.com","","","","","","","","","",""
"fd07606d-29a2-4602-9465-74b5f209d460","dinamiks.mx","","","","","","","","","",""
"fceb9ed0-8b15-4d14-bb29-8e31328e9aab","starcomww.com","","","","","","","","","",""
"fce881a0-5d5c-49fe-bc62-cb440ae29877","eventcadence.com","","","","","","","","","",""
"fcdf9bb3-7278-4201-bdef-d25133a986c3","arts.ac.uk","","","","","","","","","",""
"fc8ee713-029e-4d8f-96ef-d9ac40a69868","nuclio.school","","","","","","","","","",""
"fc7d0ec1-2c35-495f-a533-c71843bf05c2","be-cgi.com","","","","","","","","","",""
"fc043407-7f68-4fb1-8345-c52a587f2802","arenamedia.com","","","","","","","","","",""
"fbe383d1-6b2f-45b6-b762-452d9b2873d1","clientify.com","","","","","","","","","",""
"fb6f0be3-e26d-42d5-b8b1-244ac945a5f9","creardigital.com","","","","","","","","","",""
"faaff966-607f-4439-974d-98e37138000d","tufts.edu","","","","","","","","","",""
"f980c478-751a-4176-80b4-3a1a1db6efbf","laika.com.mx","","","","","","","","","",""
"f9672286-929b-43ec-a8b2-94322a6d72a9","karemsuarez.com","","","","","","","","","",""
"f885aec8-4c48-4471-986e-f78309e7920c","mit.edu","","","","","","","","","",""
"f80605d9-9af8-44a9-9882-aa9312488482","iri.org","","","","","","","","","",""
"f7bf2a1e-a7b1-423c-a4b7-7ed183b07016","alum.vassar.edu","","","","","","","","","",""
"f73cd90c-7e56-490e-8237-ec2c1146e09b","crowdcast.io","","","","","","","","","",""
"f734ff28-03d7-4cdb-88df-d28fe14bb059","sanrafael.com.co","","","","","","","","","",""
"f704e7c0-6fa2-47e0-b369-ccefe59377eb","tesa.lat","","","","","","","","","",""
"f5827787-a4b5-4d1b-9531-632e28ca0a29","albanesi.mx","","","","","","","","","",""
"f54bb0a4-5932-40a3-9de5-f398d882eb43","santander.com.mx","","","","","","","","","",""
"f4ccb2ad-912a-4ebc-9be0-bf458dbda9eb","orchestra.global","","","","","","","","","",""
"f4b951fe-0fd2-4f0a-a0b3-552de96efd10","nowports.com","","","","","","","","","",""
"f460009e-8e31-4f81-a549-baf94affa1be","live.co.uk","","","","","","","","","",""
"f42546eb-cd94-4440-ab46-2736c5526067","schooldash.com","","","","","","","","","",""
"f3d2a59c-f55e-4862-a3bf-7cfed089ccc5","unam.mx","","","","","","","","","",""
"f211e4ba-fb44-4e6a-84ed-c3d6c4829acb","mail.egencia.se","","","","","","","","","",""
"f1dc9884-c07b-40c3-8c2d-dbfa440e44ed","lexia.com.mx","","","","","","","","","",""
"f15ca47c-b8a9-493a-b35f-00bdbadedbd3","imefuniversitario.com","","","","","","","","","",""
"f131f844-7e96-47a0-b32a-072c26cbb3aa","evolupedia.com","","","","","","","","","",""
"f0c5d750-cbf6-4f69-8047-3fef17577c29","cdcashedu.com.mx","","","","","","","","","",""
"f0ba591c-c256-4f62-9c08-b5d5fa652952","oasa.net.mx","","","","","","","","","",""
"f04502cb-8e7c-49c5-a025-843095126440","centralmedia.mx","","","","","","","","","",""
"f039dc34-0af5-431b-8fde-d25d1f590f36","parsedco.com","","","","","","","","","",""
"efb7ed9d-b09c-4cb0-83b1-98f9d23f9885","uva.nl","","","","","","","","","",""
"ef7f7005-61fb-4839-9643-076c98056ea4","talent-network.org","","","","","","","","","",""
"ef2bf444-056a-461c-bd68-e92702ed133b","govirtual.com.mx","","","","","","","","","",""
"ef206d3b-90ab-4101-92e1-29372f870e8d","ninchcompany.com","","","","","","","","","",""
"ee9d03da-454e-42ab-b810-89d4c7c9aaae","autocom.mx","","","","","","","","","",""
"ee5859c7-dffe-40e9-856e-6f970264eba8","contapp.com.mx","","","","","","","","","",""
"ed32da3a-7dc0-4da9-8e0f-08ee304e7cde","somosuno.marketing","","","","","","","","","",""
"ec57f0fc-1103-44e3-9f41-3013f5f50ba9","mobilityado.com","","","","","","","","","",""
"ebbf8f61-05d0-4cb8-8444-79f2faad0a9f","tbdmx.com","","","","","","","","","",""
"eb9ba4e2-45e6-4f26-b592-f598991abd44","inami.gob.mx","","","","","","","","","",""
"eb5b88ab-79dd-4329-92c9-dd37d68fdd19","igcs.com.mx","","","","","","","","","",""
